Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Carson Kelly,30,C,3.2,79,300,257,42,70,12,1,13,38,0,0,37,45,.272,.367,.479,.845,144,.372,146,123,8,3,0,3,0,2/HD,,kellyca02
2,Michael Busch*,27,1B,3.2,111,420,372,53,98,16,3,22,64,4,0,39,103,.263,.348,.500,.848,143,.376,147,186,1,9,0,0,1,*3H/D,,buschmi02
3,Nico Hoerner,28,2B,4.3,113,465,429,60,125,19,3,4,47,19,3,27,35,.291,.340,.378,.717,109,.332,113,162,2,6,0,3,0,*4/6,,hoernni01
4,Dansby Swanson,31,SS,3.1,115,476,440,66,111,14,2,18,55,9,3,31,132,.252,.299,.416,.715,105,.320,108,183,5,0,1,4,1,*6,,swansda01
5,Matt Shaw,23,3B,2.0,83,295,268,40,61,15,1,9,30,14,2,23,57,.228,.292,.392,.683,97,.311,97,105,1,2,0,2,0,*5/H4,,shawma01
6,Ian Happ#,30,LF,1.7,107,480,416,64,96,19,0,16,55,5,2,59,106,.231,.325,.392,.717,108,.322,110,163,6,1,0,4,0,*7/DH,,happia01
7,Pete Crow-Armstrong*,23,CF,6.0,115,481,448,74,116,31,4,27,78,30,5,20,117,.259,.296,.527,.822,133,.361,132,236,1,5,4,4,0,*8/H,AS,crowape01
8,Kyle Tucker*,28,RF,4.5,114,505,420,77,114,21,4,18,62,24,2,76,73,.271,.384,.469,.854,147,.382,148,197,6,3,1,3,7,*9D/H,AS,tuckeky01
9,Seiya Suzuki,30,DH,2.1,112,491,438,59,110,26,3,27,84,3,2,47,128,.251,.320,.509,.829,137,.357,136,223,11,0,0,6,1,*D97/8,,suzukse01
10,Justin Turner,40,1B,0.1,61,154,135,13,30,6,0,3,15,2,0,14,24,.222,.292,.333,.626,82,.294,89,45,2,1,0,4,0,3HD5,,turneju01
11,Jon Berti,35,3B,0.1,51,107,100,12,21,2,0,0,2,11,3,5,22,.210,.262,.230,.492,45,.244,48,23,1,2,0,0,0,5H4/19D,,bertijo01
12,Miguel Amaya,26,C,1.1,27,100,93,14,26,9,0,4,25,0,0,4,22,.280,.313,.505,.819,133,.367,143,47,0,1,1,1,0,2/DH,,amayami01
13,Reese McGuire*,30,C,0.3,27,89,85,11,20,1,0,6,16,0,0,2,18,.235,.250,.459,.709,101,.298,93,39,2,0,1,1,0,2/H,,mcguire01
14,Vidal Bruján#,27,UT,-0.4,36,47,45,6,10,3,0,0,3,2,1,1,12,.222,.234,.289,.523,51,.225,43,13,1,0,0,1,0,H5/749D68,,brujavi01
15,Willi Castro#,28,UT,-0.2,7,25,25,3,4,0,1,0,0,0,0,0,4,.160,.160,.240,.400,15,.172,4,6,0,0,0,0,0,/59478H,,castrwi01
16,Nicky Lopez*,30,IF,-0.3,14,22,18,2,1,0,0,0,1,0,0,4,3,.056,.227,.056,.283,-12,.163,-2,1,1,0,0,0,0,5/H64D,,lopezni01
17,Moisés Ballesteros*,21,DH,-0.1,6,20,18,3,4,1,0,0,6,0,0,2,1,.222,.300,.278,.578,70,.263,69,5,1,0,0,0,0,/D,,ballemo01
18,Gage Workman*,25,IF,-0.2,9,15,14,0,3,1,0,0,2,1,0,1,6,.214,.267,.286,.552,61,.260,56,4,0,0,0,0,0,/56DH,,workmga01
19,Colin Rea,34,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-108,0,0,0,0,0,0,1,,reaco01
,Team Totals,,,30.4,117,4493,4022,599,1020,196,22,167,583,124,23,392,909,.254,.322,.438,.760,119,.340,121,1761,49,33,8,36,10,,,-9999
