Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Inter-League,395,39,1492,1327,204,345,64,11,53,200,45,7,131,296,.260,.329,.445,.774,590,15,14,2,17,5,11,.293,104,112
Arizona Diamondbacks,68,7,275,252,42,62,13,2,13,42,5,0,22,60,.246,.309,.468,.777,118,2,1,0,0,0,4,.274,103,103
Baltimore Orioles,31,3,105,96,9,23,5,1,1,9,0,0,6,27,.240,.279,.344,.623,33,1,0,1,2,0,3,.314,65,61
Boston Red Sox,29,3,107,97,11,25,4,0,6,11,3,2,7,20,.258,.311,.485,.796,47,1,1,0,1,0,1,.264,107,126
Chicago White Sox,63,6,245,210,42,60,15,3,5,39,12,1,27,49,.286,.371,.457,.829,96,3,4,0,4,2,3,.344,120,124
Cincinnati Reds,89,9,337,304,48,79,18,1,15,47,5,3,28,68,.260,.326,.474,.800,144,5,3,0,2,1,2,.287,110,128
Cleveland Guardians,27,3,111,92,11,22,3,1,1,11,2,1,16,21,.239,.351,.326,.677,30,0,1,0,2,1,0,.292,83,95
Colorado Rockies,30,3,107,94,9,20,3,0,1,9,8,1,11,20,.213,.292,.277,.569,26,3,0,1,1,1,0,.257,54,35
Detroit Tigers,30,3,102,98,7,20,4,0,5,7,0,1,4,26,.204,.235,.398,.633,39,0,0,0,0,0,0,.224,64,78
Miami Marlins,60,6,229,210,34,60,13,1,8,33,5,1,16,42,.286,.336,.471,.808,99,3,1,0,2,1,1,.321,112,121
Houston Astros,32,3,117,108,16,28,7,2,5,16,4,0,8,25,.259,.308,.500,.808,54,0,0,0,1,0,0,.291,110,132
Kansas City Royals,30,3,110,100,14,25,3,0,4,13,7,0,8,21,.250,.309,.400,.709,40,3,1,0,1,0,2,.276,87,106
Los Angeles Dodgers,77,7,275,244,42,67,15,2,11,42,13,3,26,69,.275,.349,.488,.837,119,1,3,0,2,0,0,.337,120,128
Milwaukee Brewers,86,8,306,269,45,65,13,0,14,43,1,1,29,75,.242,.327,.446,.773,120,5,6,0,2,0,0,.280,103,125
Minnesota Twins,30,3,111,102,11,24,4,0,3,11,0,0,8,21,.235,.288,.363,.651,37,2,0,0,1,0,0,.266,72,81
New York Mets,29,3,106,95,10,17,3,0,4,10,1,1,11,28,.179,.264,.337,.601,32,1,0,0,0,0,0,.206,59,73
New York Yankees,32,3,111,103,9,23,4,1,3,9,2,1,8,22,.223,.279,.369,.648,38,1,0,0,0,0,0,.256,71,87
Athletics,31,3,147,122,35,41,9,1,8,35,5,0,20,24,.336,.429,.623,1.052,76,0,2,0,3,1,1,.355,176,170
Philadelphia Phillies,56,6,236,215,22,48,13,0,6,22,6,0,19,53,.223,.285,.367,.653,79,1,0,1,1,0,2,.268,72,89
Pittsburgh Pirates,70,7,254,236,29,57,9,1,11,28,6,0,17,40,.242,.291,.428,.719,101,5,0,0,1,1,0,.247,88,105
San Diego Padres,60,6,238,202,25,47,10,1,5,22,8,3,30,47,.233,.332,.366,.698,74,2,1,3,2,1,3,.276,87,110
Seattle Mariners,31,3,113,102,20,28,4,0,11,20,1,1,9,23,.275,.345,.637,.982,65,1,2,0,0,0,0,.250,153,175
San Francisco Giants,33,3,118,104,15,21,5,0,3,15,3,1,12,24,.202,.288,.337,.625,35,3,1,0,1,0,3,.231,66,80
St. Louis Cardinals,106,10,396,361,59,103,13,2,20,55,12,2,29,63,.285,.340,.499,.839,180,3,2,1,2,0,2,.296,120,133
Texas Rangers,29,3,113,97,19,26,2,2,1,19,9,0,10,17,.268,.348,.361,.709,35,3,3,1,2,1,1,.309,91,118
Washington Nationals,29,3,124,109,15,29,4,1,3,15,6,0,11,24,.266,.331,.404,.734,44,0,1,0,3,0,1,.306,95,88
WP < .500,475,47,1825,1635,255,422,83,10,60,249,57,4,158,352,.258,.324,.431,.755,705,25,11,2,19,6,18,.291,99,103
WP >= .500,713,70,2668,2387,344,598,113,12,107,334,67,19,234,557,.251,.321,.442,.763,1056,24,22,6,17,4,11,.282,101,118
